NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR,ORBITAL_PERIOD,SEMI_MAJOR_AXIS,ORBITAL_VELOCITY,PERIGEE_ALTITUDE,APOGEE_ALTITUDE
15614,1754676528,14.76965528,0.0011424,108.226,161.7305,135.4045,224.8036,646.937,630.905,0.00024341,5849.831858770369,7017.055883630636,7.535930539902448,-5740.095,-5724.063
15615,1754610933,14.51654283,0.0041426,107.8174,337.2734,167.3995,253.8729,749.658,690.847,0.00030307,5951.830336727632,7098.387571806984,7.470101056757591,-5680.153,-5621.342
15756,1754611213,14.82696038,0.000873,74.0421,73.1253,294.0275,65.9989,626.939,614.719,0.00046386,5827.222693367716,6998.963950754612,7.5477170175861845,-5756.281,-5744.061
15762,1754669015,12.59319739,0.0753197,65.6625,112.1987,278.5325,73.1094,2013.542,837.969,-2.0785e-05,6860.846957628764,7803.890509899362,6.633452518617203,-5533.031,-4357.4580000000005
15764,1754534763,13.65384121,0.018324,90.4754,262.1649,29.8246,32.7261,1151.685,880.698,0.00011896,6327.889615174454,7394.326266651343,7.215723302760575,-5490.302,-5219.3150000000005
15766,1754605918,14.43120566,0.0010106,82.9373,194.9027,101.6045,258.6284,755.411,741.007,0.0013583,5987.025757624744,7126.343695680856,7.478791127978323,-5629.993,-5615.589
15767,1754680629,14.73192913,0.0008008,82.8963,146.2056,53.7741,306.4208,656.524,645.267,0.0037139,5864.812356723576,7029.030492963788,7.532068379901321,-5725.733,-5714.476
15768,1754667961,14.17067322,0.0046605,83.0597,86.72,175.038,240.4625,868.908,801.672,0.0010795,6097.099175080689,7213.4249755030305,7.406340475600478,-5569.3279999999995,-5502.092
15769,1754739643,14.07198882,0.0061633,81.2771,131.9132,84.6244,276.1953,913.641,824.309,5.3405e-05,6139.8570667710355,7247.110007102443,7.377977679624537,-5546.691,-5457.359
15775,1754420448,12.98185994,0.0657746,62.3014,140.4702,259.0314,93.6058,1772.209,766.207,5.7435e-05,6655.440776539452,7647.342861530726,6.765714710866689,-5604.793,-4598.791
15780,1754680514,13.95603371,0.005409,82.8165,134.9358,326.7507,89.0575,948.478,869.645,0.00082093,6190.870686855055,7287.196852107651,7.363168983648281,-5501.355,-5422.522
15783,1754638876,14.77710213,0.0033144,67.0361,202.0788,142.3328,284.4633,659.813,613.314,0.00067986,5846.883863960951,7014.698211060811,7.520845904953803,-5757.686,-5711.187
15784,1754676138,14.83518073,0.0001634,73.9929,227.0464,71.615,106.0209,619.386,617.1,0.00048447,5823.993760000523,6996.378239170709,7.5544736576249125,-5753.9,-5751.614
15785,1754663067,14.70249903,0.0009681,74.0332,174.6524,297.888,62.131,667.086,653.459,0.00044043,5876.551994576122,7038.407407610643,7.525780008404627,-5717.541,-5703.914
15788,1754550236,13.92922944,0.0120277,98.8876,140.5925,4.7714,125.3091,1006.168,830.647,0.00065464,6202.783892114566,7296.542446841382,7.309896968891119,-5540.353,-5364.832
15789,1754665514,12.47955436,0.0358254,103.5965,275.537,311.6793,205.7082,1754.333,1191.788,0.025855,6923.324143443212,7851.195467130481,6.8806697326831845,-5179.2119999999995,-4616.6669999999995
15950,1754690664,14.12927324,0.0090668,89.846,299.5163,138.6142,222.1961,914.904,783.843,0.0028599,6114.964197549909,7227.508738399141,7.366574412665415,-5587.157,-5456.096
15951,1754667530,13.98670022,0.0112551,89.8576,180.5883,207.2927,333.7625,980.304,816.508,0.002004,6177.296906417861,7276.541270552602,7.325614812677789,-5554.492,-5390.696
16020,1754642248,13.40949826,0.014179,90.2156,4.9242,114.4238,276.0769,1211.859,999.631,0.00012229,6443.19409457159,7483.880125389627,7.202136240984255,-5371.369,-5159.141
16202,1754744355,13.98543138,0.0078085,65.8291,24.7195,156.1646,265.374,955.669,842.024,0.00029334,6177.857346864334,7276.981377440599,7.3506851952764904,-5528.976,-5415.331
16203,1754746212,13.89163104,0.0063009,65.837,323.3252,158.8689,300.3497,977.625,885.509,3.5469e-05,6219.572039540722,7309.702155139664,7.345248372043378,-5485.491,-5393.375
16204,1754692158,13.80007655,0.0034752,65.8333,165.0215,270.9729,150.2335,989.376,938.347,-6.4071e-06,6260.834835731401,7341.996576759919,7.349784666801657,-5432.653,-5381.624
16205,1754674045,13.79934527,0.0068922,65.8245,220.9016,223.8915,309.777,1014.725,913.517,0.00025521,6261.166621276953,7342.255961425477,7.324582983189402,-5457.483,-5356.275
16206,1754686246,13.73892704,0.0024066,65.8327,252.8394,217.9417,315.5162,1003.352,967.909,0.00014591,6288.700693180186,7363.765725065245,7.346738075081849,-5403.091,-5367.648
16207,1754692275,13.57696172,0.0084562,65.835,63.0141,335.0267,130.0334,1106.842,981.315,4.7843e-05,6363.721264141563,7422.213550744805,7.273561711226643,-5389.6849999999995,-5264.157999999999
16208,1754688160,13.76157661,0.003938,65.8347,38.9329,15.8477,93.607,1006.515,948.582,3.095e-05,6278.35039898092,7355.683709636126,7.339532487272453,-5422.418,-5364.485
16209,1754682402,13.71405679,0.0018715,65.8374,319.368,197.5943,248.3871,1008.329,980.733,3.1486e-05,6300.105163849186,7372.665760440211,7.346223040726658,-5390.267,-5362.671
16210,1754688294,13.74561463,0.0035989,65.8341,130.9077,245.2848,183.8374,1009.735,956.749,2.4493e-05,6285.641080860129,7361.377092208384,7.339176063855462,-5414.251,-5361.265
16211,1754691984,13.7040022,0.0039508,65.8343,69.0974,239.1327,225.9939,1027.279,968.994,0.00011534,6304.727534267326,7376.27152312553,7.329168344480703,-5402.006,-5343.721
16266,1754671497,12.66591632,0.0011087,82.5991,86.7448,340.4782,83.9541,1404.476,1387.238,0.0012849,6821.456720314098,7773.992160834068,7.159190914575102,-4983.762,-4966.523999999999
16267,1754733238,13.18290382,0.0073704,82.6331,12.3283,183.2536,205.9298,1247.049,1135.47,0.0092406,6553.942984012456,7569.394128087472,7.210190070865173,-5235.53,-5123.951
