NORAD_CAT_ID,EPOCH_UNIX,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,APOAPSIS,PERIAPSIS,BSTAR
36864,1754449178,14.16412623,0.0012201,82.5438,174.299,85.1252,275.1319,846.316,828.709,0.001
36865,1754516127,14.26356662,0.0015442,82.5358,95.9288,141.1852,219.0444,815.028,792.846,0.00098413
36867,1754518025,14.26499334,0.00261097,82.5236,95.7486,184.5552,175.5399,822.209,784.707,0.0011514305
36878,1754658521,14.48715871,0.0024475,81.2529,293.702,18.7083,46.1531,747.244,712.451,0.0011388
36882,1754689719,10.15260456,0.2100818,64.7719,78.8684,115.8973,267.3056,4523.666,738.352,0.10905
36911,1754684747,14.36713587,0.0014921,81.1791,71.797,240.2776,119.6925,780.044,758.715,0.0016161
36923,1753687466,14.4741371,0.0011916,81.1879,57.7434,56.9467,303.2867,742.585,725.635,0.0014756
36935,1754660042,14.40056283,0.0013756,65.0087,332.8938,257.0921,102.8632,768.131,748.498,0.0003223
36936,1754444320,14.39326822,0.0013651,65.0013,337.4711,258.3344,101.6213,770.471,750.98,0.00030484
36938,1754495723,14.3802999,0.0012256,65.0075,357.8176,255.8672,104.1054,773.771,756.262,0.00025847
36941,1754698421,14.39764746,0.0013623,65.0041,326.268,260.1047,99.8504,769.001,749.555,0.00033579
36949,1754704026,14.39674486,0.0012385,65.0115,345.906,261.0004,98.9683,768.416,750.736,0.00039717
36959,1754708355,9.11071834,0.3008572,51.8847,120.4698,144.24,4.048,6218.747,392.031,0.0099305
36968,1754702371,1.96186207,0.7494936,25.3901,228.8404,203.6204,85.7017,40777.676,374.009,0.003971
36980,1754440159,2.70784236,0.6789519,27.0774,327.5548,141.4038,4.242,30127.327,602.416,4.0952e-05
36983,1754630869,6.56306716,0.4514685,27.0284,224.6774,286.6866,29.6242,11112.472,231.825,0.00066541
36984,1754684302,6.77002378,0.4091352,26.4266,53.8092,87.5946,317.3714,10254.499,596.099,0.0017919
36986,1754665241,14.13440035,0.0086653,99.1529,283.6898,236.6518,122.6337,910.239,785.012,0.0013402
36987,1754642178,13.45697296,0.0321396,100.833,91.0862,346.9691,12.3277,1328.096,848.17,0.00039416
36990,1754676102,13.56746712,0.0293101,96.5637,210.7888,8.4824,352.1125,1265.188,829.894,0.0005145
36994,1754410510,13.90714893,0.0114481,98.6198,189.0152,288.2077,70.665,1009.749,842.509,0.00010193972
36995,1754653182,14.04827887,0.0038494,98.36,109.2037,309.5091,50.2677,905.055,849.199,0.00014908
36996,1754714526,14.10596567,0.0257144,98.215,23.8403,351.0324,188.1985,1043.389,671.277,0.00046456
37003,1754337253,13.95917445,0.0097417,98.8607,245.4192,159.9564,17.5612,978.948,836.99,0.00072515
37006,1754738165,14.47606441,0.0259627,99.3138,97.3058,259.5295,97.6547,918.116,548.842,0.00045611
37008,1754622865,14.0738077,0.0059695,99.1265,337.6199,245.6536,113.8392,911.608,825.093,0.00083227
37017,1754662560,14.38771957,0.028918,98.7728,161.7907,20.3666,340.8779,969.055,556.066,0.0014734
37021,1754682629,14.31481068,0.0176643,98.3954,241.5729,265.2867,273.487,913.35,660.223,0.00046571
37028,1754477311,14.21480226,0.0035186,99.248,120.0297,101.5557,258.9572,845.682,795.025,0.0011489
37036,1754630258,14.03377047,0.0124687,98.7054,218.2394,50.1335,311.072,972.652,791.6,0.00038117
37044,1754358290,13.6881183,0.0516557,98.9572,331.5197,144.0925,219.6124,1385.163,622.521,0.0030944
37046,1754509400,14.24267496,0.00489388,98.5527,236.474,321.0454,38.7204,846.141,775.776,0.00055721172
37048,1754736378,13.65005185,0.0254447,98.905,93.0327,117.2899,6.8084,1205.741,829.378,0.00055117
37054,1753642994,14.192021,0.0101282,98.5335,196.1271,143.7802,217.0288,901.04,755.069,0.00023941
37056,1754679253,14.49640975,0.0270956,98.9929,234.5172,164.123,196.867,919.336,534.31,0.0002007
37057,1754720615,13.95858769,0.0286623,98.9311,239.7091,125.0818,237.7583,1117.015,699.331,0.00039863
37060,1753350800,14.00444354,0.0080854,99.1163,263.4024,20.2814,340.1531,951.043,833.475,0.00018054
37061,1754742732,13.11480368,0.0808484,98.095,314.5371,314.9039,38.9116,1831.53,603.35,0.0015515
37064,1754669635,14.13557421,0.0110342,98.9131,13.0444,100.1361,261.2279,926.952,767.5,0.0024522
37065,1754715196,13.58471241,0.030134,103.2967,351.9124,154.1158,207.5396,1264.831,817.679,0.0022518
37067,1754530369,13.9780604,0.0178827,99.5469,155.3328,96.3223,265.8338,1031.582,771.227,0.0030907
37069,1754469228,13.37109652,0.0424769,95.8435,242.9769,241.4003,114.3783,1438.568,801.567,0.0017708
37077,1754691187,14.40779054,0.0096095,99.0486,288.8885,340.2651,19.4828,824.482,687.373,0.00023902
37079,1754663301,14.54340023,0.0014462,98.8551,347.7012,158.8867,201.2928,721.764,701.258,0.0023767
37081,1754669742,14.08669161,0.0276937,98.7166,16.4874,347.7014,11.7488,1064.491,663.372,0.0021746
37084,1754632666,14.9840703,0.0102619,74.0273,58.5419,173.3229,186.9355,643.139,500.5,0.0003734
